studio,domestic_gross,foreign_gross,total_gross
SGem,20200000.0,310000.0,20510000.0
SPC,3200000.0,16500000.0,19700000.0
W/Dim.,15300000.0,4400000.0,19700000.0
LGF,1000000.0,18100000.0,19100000.0
Magn.,27800.0,18500000.0,18527800.0
Uni.,13800000.0,4600000.0,18400000.0
SPC,2100000.0,15800000.0,17900000.0
IFC,277000.0,17600000.0,17877000.0
Magn.,552000.0,16600000.0,17152000.0
SPC,1300000.0,15100000.0,16400000.0
Free,195000.0,16000000.0,16195000.0
3D,6100000.0,9900000.0,16000000.0
UTV,848000.0,14900000.0,15748000.0
CBS,12100000.0,3100000.0,15200000.0
Focus,1800000.0,12200000.0,14000000.0
RAtt.,6500000.0,7300000.0,13800000.0
SPC,6600000.0,6900000.0,13500000.0
UTV,1500000.0,11100000.0,12600000.0
SPC,1100000.0,11300000.0,12400000.0
Wein.,9700000.0,2600000.0,12300000.0
SPC,560000.0,11400000.0,11960000.0
SPC,3100000.0,8600000.0,11700000.0
IFC,55800.0,11500000.0,11555800.0
Rela.,5700000.0,5400000.0,11100000.0
Magn.,5000000.0,5900000.0,10900000.0
WB,10500000.0,356000.0,10856000.0
Gold.,1800000.0,8500000.0,10300000.0
FoxS,7500000.0,2500000.0,10000000.0
FoxS,6800000.0,2900000.0,9700000.0
SPC,9200000.0,518000.0,9718000.0
Focus,7300000.0,2200000.0,9500000.0
Over.,1800000.0,7700000.0,9500000.0
UTV,758000.0,8700000.0,9458000.0
FoxS,2400000.0,7000000.0,9400000.0
Zeit.,675000.0,8700000.0,9375000.0
Uni.,8500000.0,797000.0,9297000.0
Anch.,6700000.0,1200000.0,7900000.0
SPC,4300000.0,3600000.0,7900000.0
RAtt.,1500000.0,5500000.0,7000000.0
Magn.,124000.0,6700000.0,6824000.0
SPC,1000000.0,5700000.0,6700000.0
Wein.,1500000.0,5100000.0,6600000.0
Focus,6400000.0,128000.0,6528000.0
ParV,6400000.0,9300.0,6409300.0
Focus,4200000.0,1900000.0,6100000.0
SPC,1600000.0,4099999.0,5699999.0
IFC,619000.0,5100000.0,5719000.0
SPC,2200000.0,3400000.0,5600000.0
PDA,3300000.0,2000000.0,5300000.0
Lorb.,532000.0,4700000.0,5232000.0
Anch.,4400000.0,818000.0,5218000.0
LGF,2200000.0,2900000.0,5100000.0
Zeit.,435000.0,4600000.0,5035000.0
SPC,1100000.0,3900000.0,5000000.0
App.,3600000.0,1100000.0,4700000.0
Drft.,305000.0,4400000.0,4705000.0
