studio,domestic_gross,foreign_gross,total_gross
Anch.,216000.0,0.0,216000.0
Kino,83500.0,125000.0,208500.0
MPFT,103000.0,102000.0,205000.0
Gold.,200000.0,0.0,200000.0
Lorb.,33000.0,159000.0,192000.0
Eros,189000.0,0.0,189000.0
Strand,13000.0,175000.0,188000.0
FM,9900.0,175000.0,184900.0
Scre.,184000.0,0.0,184000.0
Icar.,164000.0,13700.0,177700.0
AGF,15800.0,161000.0,176800.0
Osci.,168000.0,0.0,168000.0
SPC,163000.0,0.0,163000.0
Mont.,40300.0,121000.0,161300.0
Magn.,155000.0,0.0,155000.0
FRun,153000.0,0.0,153000.0
A23,151000.0,0.0,151000.0
IFC,142000.0,0.0,142000.0
IFC,141000.0,0.0,141000.0
Eros,140000.0,0.0,140000.0
Vari.,136000.0,0.0,136000.0
SPC,134000.0,0.0,134000.0
Da.,130000.0,0.0,130000.0
NYer,32100.0,96700.0,128800.0
Strand,21600.0,105000.0,126600.0
MBox,111000.0,14900.0,125900.0
P4,86000.0,38600.0,124600.0
MNE,120000.0,0.0,120000.0
Magn.,106000.0,0.0,106000.0
Magn.,100000.0,0.0,100000.0
Rialto,100000.0,0.0,100000.0
Eros,94300.0,0.0,94300.0
Pala.,81900.0,0.0,81900.0
Anch.,77200.0,0.0,77200.0
MNE,68900.0,0.0,68900.0
CL,66200.0,0.0,66200.0
Lorb.,27800.0,36200.0,64000.0
MBox,61800.0,0.0,61800.0
Eros,59500.0,0.0,59500.0
Wein.,55100.0,0.0,55100.0
Kino,51200.0,0.0,51200.0
Eros,48600.0,0.0,48600.0
FoxS,46500.0,0.0,46500.0
Magn.,45200.0,0.0,45200.0
IFC,41000.0,0.0,41000.0
DF,40600.0,0.0,40600.0
KL,39500.0,0.0,39500.0
IFC,36600.0,0.0,36600.0
CL,36500.0,0.0,36500.0
CL,34800.0,0.0,34800.0
IFC,33200.0,0.0,33200.0
P4,19700.0,12700.0,32400.0
Anch.,30700.0,0.0,30700.0
UTV,30100.0,0.0,30100.0
Strand,29100.0,0.0,29100.0
Strand,22300.0,0.0,22300.0
Magn.,22300.0,0.0,22300.0
Strand,8700.0,13200.0,21900.0
Eros,21400.0,0.0,21400.0
NeoC,,19000.0,
Anch.,17500.0,0.0,17500.0
CGld,5700.0,5100.0,10800.0
CL,10700.0,0.0,10700.0
IFC,8000.0,0.0,8000.0
IFC,6900.0,0.0,6900.0
Magn.,6400.0,0.0,6400.0
KL,6300.0,0.0,6300.0
Strand,4000.0,900.0,4900.0
ALP,2800.0,0.0,2800.0
Vita.,2600.0,0.0,2600.0
Magn.,2600.0,0.0,2600.0
IFC,1900.0,0.0,1900.0
IFC,1300.0,0.0,1300.0
BV,623400000.0,895500000.0,1518900000.0
Sony,304400000.0,804200000.0,1108600000.0
WB,448100000.0,636800000.0,1084900000.0
WB (NL),303000000.0,718100000.0,1021100000.0
Fox,161300000.0,715900000.0,877200000.0
LG/S,292300000.0,537400000.0,829700000.0
Sony,262000000.0,495900000.0,757900000.0
P/DW,216400000.0,530500000.0,746900000.0
LGF,408000000.0,286400000.0,694400000.0
Sony,179000000.0,445000000.0,624000000.0
Fox,125000000.0,484000000.0,609000000.0
Uni.,218800000.0,330600000.0,549400000.0
BV,237300000.0,303200000.0,540500000.0
BV,189400000.0,281800000.0,471200000.0
Uni.,148800000.0,293000000.0,441800000.0
Wein.,10200000.0,416400000.0,426600000.0
Wein.,162800000.0,262600000.0,425400000.0
Fox,126500000.0,276900000.0,403400000.0
Uni.,155300000.0,241300000.0,396600000.0
Fox,139900000.0,236300000.0,376200000.0
Sony,148300000.0,210100000.0,358400000.0
Uni.,214000000.0,134800000.0,348800000.0
Par.,57900000.0,285700000.0,343600000.0
WB (NL),103900000.0,231400000.0,335300000.0
LGF,85000000.0,229900000.0,314900000.0
P/DW,103400000.0,203500000.0,306900000.0
WB,83700000.0,221600000.0,305300000.0
Uni.,65400000.0,237600000.0,303000000.0
BV,73100000.0,211100000.0,284200000.0
Uni.,113200000.0,162900000.0,276100000.0
BV,182200000.0,93100000.0,275300000.0
WB,79700000.0,165800000.0,245500000.0
SGem,42300000.0,197700000.0,240000000.0
Wein.,132100000.0,104300000.0,236400000.0
Uni.,57000000.0,178000000.0,235000000.0
WB,136000000.0,96300000.0,232300000.0
Par.,80100000.0,138300000.0,218400000.0
Uni.,126400000.0,81700000.0,208100000.0
Sony,138400000.0,63100000.0,201500000.0
Sony,58900000.0,139600000.0,198500000.0
SGem,125000000.0,71100000.0,196100000.0
Rela.,64900000.0,118100000.0,183000000.0
LG/S,19000000.0,161300000.0,180300000.0
Par.,59700000.0,119700000.0,179400000.0
TriS,66500000.0,110000000.0,176500000.0
WB,113700000.0,53500000.0,167200000.0
Par.,93800000.0,68000000.0,161800000.0
SGem,62300000.0,97800000.0,160100000.0
Fox,54800000.0,101700000.0,156500000.0
BV,19200000.0,126400000.0,145600000.0
Par.,53900000.0,88900000.0,142800000.0
LG/S,35100000.0,105400000.0,140500000.0
FoxS,46400000.0,90400000.0,136800000.0
Sony,95700000.0,37100000.0,132800000.0
Sony,51800000.0,80800000.0,132600000.0
WB,27100000.0,103400000.0,130500000.0
CBS,54300000.0,73400000.0,127700000.0
Fox,64599999.0,62100000.0,126699999.0
Sony,31100000.0,92000000.0,123100000.0
Fox,77300000.0,42500000.0,119800000.0
Fox,37500000.0,79000000.0,116500000.0
Uni.,65000000.0,50300000.0,115300000.0
Sony,63500000.0,50700000.0,114200000.0
Focus,56000000.0,51100000.0,107100000.0
WB,86900000.0,18000000.0,104900000.0
Vari.,63000.0,104300000.0,104363000.0
Fox,43500000.0,59300000.0,102800000.0
WB,54700000.0,48000000.0,102700000.0
Par.,53300000.0,48500000.0,101800000.0
WB,60500000.0,38900000.0,99400000.0
Uni.,66500000.0,29700000.0,96200000.0
SGem,91500000.0,4500000.0,96000000.0
Uni.,67500000.0,20500000.0,88000000.0
WHE,36000.0,88000000.0,88036000.0
LGF,49100000.0,36300000.0,85400000.0
LGF,41200000.0,43200000.0,84400000.0
WGUSA,686000.0,82800000.0,83486000.0
Uni.,47400000.0,35600000.0,83000000.0
BV,35300000.0,46200000.0,81500000.0
Rela.,70000000.0,11300000.0,81300000.0
CJ,923000.0,79800000.0,80723000.0
LG/S,48100000.0,29600000.0,77700000.0
ORF,51600000.0,25700000.0,77300000.0
Fox,49000000.0,28100000.0,77100000.0
SPC,16700000.0,56600000.0,73300000.0
Sony,45300000.0,27800000.0,73100000.0
BV,41100000.0,28200000.0,69300000.0
Focus,12800000.0,56100000.0,68900000.0
Fox,35400000.0,32900000.0,68300000.0
Focus,45500000.0,22800000.0,68300000.0
LGF,65700000.0,1200000.0,66900000.0
LGF,42100000.0,24400000.0,66500000.0
BV,47600000.0,14400000.0,62000000.0
WB (NL),38500000.0,20900000.0,59400000.0
Sony,36900000.0,20800000.0,57700000.0
BV,51900000.0,4200000.0,56100000.0
Fox,44300000.0,10500000.0,54800000.0
Uni.,28800000.0,25100000.0,53900000.0
Wein.,37400000.0,16300000.0,53700000.0
ORF,17500000.0,34800000.0,52300000.0
Fox,49900000.0,489000.0,50389000.0
BV,34000000.0,16200000.0,50200000.0
WB,35800000.0,13200000.0,49000000.0
MPI,206000.0,48300000.0,48506000.0
ORF,41000000.0,7100000.0,48100000.0
LG/S,18600000.0,27600000.0,46200000.0
FD,44800000.0,0.0,44800000.0
Rela.,31600000.0,12700000.0,44300000.0
Par.,37100000.0,4700000.0,41800000.0
CJ,343000.0,41300000.0,41643000.0
LGF,17100000.0,23200000.0,40300000.0
Wein.,15000000.0,22900000.0,37900000.0
WB,18100000.0,19000000.0,37100000.0
LGF,26400000.0,10500000.0,36900000.0
LGF,13400000.0,22200000.0,35600000.0
LGF,35000000.0,553000.0,35553000.0
RAtt.,7900000.0,27600000.0,35500000.0
BV,29000000.0,5900000.0,34900000.0
LG/S,25900000.0,8700000.0,34600000.0
CBS,9000000.0,25500000.0,34500000.0
NeoC,35700.0,34400000.0,34435700.0
Par.,12500000.0,21600000.0,34100000.0
LG/S,17700000.0,15600000.0,33300000.0
Rela.,18900000.0,14400000.0,33300000.0
Par.,25300000.0,7400000.0,32700000.0
FD,14300000.0,17900000.0,32200000.0
WB,30900000.0,226000.0,31126000.0
Sony,20300000.0,10800000.0,31100000.0
Rela.,16000000.0,13600000.0,29600000.0
UTV,777000.0,28600000.0,29377000.0
RTWC,11100.0,29100000.0,29111100.0
FIP,1200000.0,27600000.0,28800000.0
Wein.,16399999.0,11900000.0,28299999.0
SPC,2100000.0,23700000.0,25800000.0
Uni.,20200000.0,4600000.0,24800000.0
TriS,24400000.0,240000.0,24640000.0
WB,14600000.0,9100000.0,23700000.0
FoxS,6000000.0,17600000.0,23600000.0
P/DW,18500000.0,3600000.0,22100000.0
Uni.,17500000.0,4200000.0,21700000.0
FoxS,12800000.0,8300000.0,21100000.0
IFC,211000.0,20200000.0,20411000.0
SPC,6700000.0,13100000.0,19800000.0
Uni.,15600000.0,4099999.0,19699999.0
RTWC,,19600000.0,
CBS,15000000.0,4400000.0,19400000.0
LG/S,11700000.0,6400000.0,18100000.0
RF,13000.0,17600000.0,17613000.0
LG/S,3800000.0,13100000.0,16900000.0
CJ,70200.0,16500000.0,16570200.0
Free,4900.0,16500000.0,16504900.0
IFC,548000.0,15600000.0,16148000.0
Magn.,1200000.0,14500000.0,15700000.0
ORF,13700000.0,704000.0,14404000.0
Wein.,47800.0,13800000.0,13847800.0
MNE,52600.0,13500000.0,13552600.0
CBS,11500000.0,1700000.0,13200000.0
FD,13100000.0,0.0,13100000.0
ORF,12800000.0,347000.0,13147000.0
RAtt.,7300000.0,5800000.0,13100000.0
KL,386000.0,12200000.0,12586000.0
Drft.,68800.0,12400000.0,12468800.0
BV,12400000.0,0.0,12400000.0
Anch.,412000.0,11900000.0,12312000.0
RTWC,448000.0,11500000.0,11948000.0
Wein.,144000.0,11600000.0,11744000.0
Par.,9400000.0,2000000.0,11400000.0
Magn.,9600.0,10100000.0,10109600.0
Cohen,499000.0,9200000.0,9699000.0
Focus,7100000.0,2600000.0,9700000.0
WB,4900000.0,4700000.0,9600000.0
ArcEnt,5700000.0,4000000.0,9700000.0
SPC,1800000.0,7700000.0,9500000.0
MNE,9200000.0,0.0,9200000.0
FoxS,6000000.0,3100000.0,9100000.0
FoxS,2500000.0,6600000.0,9100000.0
Focus,6400000.0,2500000.0,8900000.0
IFC,744000.0,8000000.0,8744000.0
PalUni,256000.0,8400000.0,8656000.0
W/Dim.,377000.0,8100000.0,8477000.0
Wein.,206000.0,8199999.0,8405999.0
EpicPics,14400.0,8300000.0,8314400.0
Magn.,120000.0,8199999.0,8319999.0
Focus,7600000.0,541000.0,8141000.0
EOne,122000.0,8000000.0,8122000.0
LGF,5900000.0,2100000.0,8000000.0
UTV,599000.0,7400000.0,7999000.0
Magn.,1500000.0,6000000.0,7500000.0
KL,43200.0,7200000.0,7243200.0
Strand,22000.0,7100000.0,7122000.0
LD,6800000.0,0.0,6800000.0
MBox,2000000.0,4600000.0,6600000.0
Magn.,4200000.0,2300000.0,6500000.0
EOne,764000.0,5300000.0,6064000.0
Fox,6000000.0,600.0,6000600.0
IFC,59100.0,5800000.0,5859100.0
Elev.,180000.0,5600000.0,5780000.0
RAtt.,3000000.0,2600000.0,5600000.0
SPC,1000000.0,4500000.0,5500000.0
Fox,5300000.0,0.0,5300000.0
Cohen,1600000.0,3700000.0,5300000.0
Imag.,,5200000.0,
LGF,2600000.0,2000000.0,4600000.0
ParV,4300000.0,148000.0,4448000.0
AF,1000000.0,3100000.0,4100000.0
SPC,4099999.0,0.0,4099999.0
,,4000000.0,
FD,4000000.0,0.0,4000000.0
ArcEnt,3400000.0,526000.0,3926000.0
NYer,,3800000.0,
Cohen,355000.0,3400000.0,3755000.0
RAtt.,354000.0,3400000.0,3754000.0
GK,23400.0,3700000.0,3723400.0
SPC,3700000.0,0.0,3700000.0
LD,2000000.0,1700000.0,3700000.0
Trib.,75700.0,3400000.0,3475700.0
Gold.,3300000.0,0.0,3300000.0
Par.,3100000.0,0.0,3100000.0
SPC,3100000.0,0.0,3100000.0
Yash,3000000.0,0.0,3000000.0
MNE,69100.0,2900000.0,2969100.0
Relbig.,2900000.0,0.0,2900000.0
UTV,2800000.0,0.0,2800000.0
CL,192000.0,2600000.0,2792000.0
Osci.,2700000.0,0.0,2700000.0
TFA,151000.0,2400000.0,2551000.0
Magn.,2600000.0,0.0,2600000.0
Eros,2500000.0,0.0,2500000.0
IFC,1500000.0,1000000.0,2500000.0
Magn.,2400000.0,0.0,2400000.0
Yash,2300000.0,0.0,2300000.0
GK,351000.0,1900000.0,2251000.0
MNE,304000.0,1800000.0,2104000.0
SPC,2000000.0,0.0,2000000.0
IM,898000.0,1100000.0,1998000.0
Eros,2000000.0,0.0,2000000.0
FM,3500.0,2000000.0,2003500.0
Eros,1900000.0,0.0,1900000.0
Eros,1800000.0,0.0,1800000.0
Myr.,,1800000.0,
GK,11000.0,1700000.0,1711000.0
IFC,138000.0,1500000.0,1638000.0
Magn.,100000.0,1600000.0,1700000.0
Magn.,633000.0,1000000.0,1633000.0
IFC,1600000.0,0.0,1600000.0
MBox,29900.0,1600000.0,1629900.0
RTWC,21000.0,1600000.0,1621000.0
RAtt.,38900.0,1500000.0,1538900.0
EOne,1600000.0,0.0,1600000.0
Magn.,146000.0,1400000.0,1546000.0
Zeit.,317000.0,1200000.0,1517000.0
SPC,254000.0,1200000.0,1454000.0
Magn.,1400000.0,0.0,1400000.0
MNE,693000.0,661000.0,1354000.0
SD,1300000.0,0.0,1300000.0
Strand,154000.0,1200000.0,1354000.0
MNE,15400.0,1300000.0,1315400.0
Cohen,1300000.0,0.0,1300000.0
NGE,778000.0,482000.0,1260000.0
Focus,1300000.0,0.0,1300000.0
Magn.,1200000.0,0.0,1200000.0
Eros,1200000.0,0.0,1200000.0
CGld,152000.0,1000000.0,1152000.0
UTV,1200000.0,0.0,1200000.0
MBox,1100000.0,0.0,1100000.0
Wein.,757000.0,315000.0,1072000.0
Gold.,1000000.0,0.0,1000000.0
IFC,1000000.0,0.0,1000000.0
SPC,1000000.0,0.0,1000000.0
MNE,973000.0,0.0,973000.0
KL,158000.0,754000.0,912000.0
Wein.,583000.0,285000.0,868000.0
KL,4600.0,803000.0,807600.0
SPC,794000.0,0.0,794000.0
Eros,781000.0,0.0,781000.0
Eros,772000.0,0.0,772000.0
Eros,698000.0,0.0,698000.0
Eros,670000.0,0.0,670000.0
WB,669000.0,0.0,669000.0
IM,641000.0,0.0,641000.0
FM,53800.0,564000.0,617800.0
IFC,591000.0,0.0,591000.0
Wein.,562000.0,0.0,562000.0
AF,155000.0,400000.0,555000.0
Eros,549000.0,0.0,549000.0
Focus,540000.0,0.0,540000.0
IFC,534000.0,0.0,534000.0
SPC,532000.0,0.0,532000.0
Wein.,279000.0,182000.0,461000.0
Eros,434000.0,0.0,434000.0
WHE,,432000.0,
Magn.,400.0,426000.0,426400.0
FoxS,408000.0,0.0,408000.0
Eros,379000.0,0.0,379000.0
SPC,377000.0,0.0,377000.0
Magn.,5500.0,364000.0,369500.0
ATO,366000.0,0.0,366000.0
IFC,327000.0,0.0,327000.0
Magn.,319000.0,0.0,319000.0
CL,313000.0,0.0,313000.0
WHE,311000.0,0.0,311000.0
IM,288000.0,0.0,288000.0
CL,256000.0,0.0,256000.0
FoxS,253000.0,0.0,253000.0
MBox,246000.0,0.0,246000.0
KL,243000.0,0.0,243000.0
IFC,240000.0,0.0,240000.0
Zeit.,233000.0,0.0,233000.0
Eros,230000.0,0.0,230000.0
CL,220000.0,0.0,220000.0
SPC,215000.0,0.0,215000.0
Vari.,212000.0,0.0,212000.0
Abr.,211000.0,0.0,211000.0
Anch.,203000.0,0.0,203000.0
Strand,15100.0,186000.0,201100.0
Magn.,201000.0,0.0,201000.0
MBox,201000.0,0.0,201000.0
UTV,178000.0,0.0,178000.0
Magn.,177000.0,0.0,177000.0
RTWC,105000.0,70700.0,175700.0
IFC,29100.0,143000.0,172100.0
IM,170000.0,0.0,170000.0
UTV,169000.0,0.0,169000.0
BM&DH,166000.0,0.0,166000.0
Eros,156000.0,0.0,156000.0
Drft.,152000.0,0.0,152000.0
Eros,152000.0,0.0,152000.0
UTV,144000.0,0.0,144000.0
Anch.,139000.0,0.0,139000.0
WGUSA,136000.0,0.0,136000.0
IFC,130000.0,0.0,130000.0
IFC,127000.0,0.0,127000.0
Hann.,64900.0,61600.0,126500.0
NYer,126000.0,0.0,126000.0
Magn.,123000.0,0.0,123000.0
CL,118000.0,0.0,118000.0
ATO,114000.0,0.0,114000.0
KL,110000.0,0.0,110000.0
Osci.,107000.0,0.0,107000.0
Magn.,102000.0,0.0,102000.0
Strand,101000.0,0.0,101000.0
Osci.,101000.0,0.0,101000.0
UTV,101000.0,0.0,101000.0
Magn.,100000.0,0.0,100000.0
IFC,95000.0,0.0,95000.0
MBox,86600.0,0.0,86600.0
SEG,83600.0,0.0,83600.0
FRun,37700.0,41000.0,78700.0
Magn.,78400.0,0.0,78400.0
PalT,77000.0,0.0,77000.0
Gold.,76400.0,0.0,76400.0
Trib.,72700.0,0.0,72700.0
RF,,70100.0,
Strand,24000.0,45900.0,69900.0
Magn.,66400.0,0.0,66400.0
CL,64400.0,0.0,64400.0
CL,59100.0,0.0,59100.0
CGld,56400.0,0.0,56400.0
Yash,52600.0,0.0,52600.0
WGUSA,50400.0,0.0,50400.0
CL,47900.0,0.0,47900.0
Strand,28300.0,16700.0,45000.0
CL,44800.0,0.0,44800.0
KL,38400.0,0.0,38400.0
Vari.,34000.0,0.0,34000.0
UTV,30900.0,0.0,30900.0
RAtt.,30700.0,0.0,30700.0
ICir,29300.0,0.0,29300.0
Strand,26700.0,0.0,26700.0
KL,25100.0,0.0,25100.0
Gold.,22800.0,0.0,22800.0
Strand,21300.0,0.0,21300.0
Anch.,21000.0,0.0,21000.0
Osci.,18900.0,0.0,18900.0
Imag.,18500.0,0.0,18500.0
Outs,18000.0,0.0,18000.0
IFC,17800.0,0.0,17800.0
MNE,17700.0,0.0,17700.0
Da.,16100.0,0.0,16100.0
KL,16100.0,0.0,16100.0
CGld,15900.0,0.0,15900.0
Mont.,15800.0,0.0,15800.0
Mont.,13600.0,0.0,13600.0
Strand,3500.0,9500.0,13000.0
Gold.,12400.0,0.0,12400.0
UTV,10100.0,0.0,10100.0
CL,10000.0,0.0,10000.0
FM,8900.0,0.0,8900.0
Strand,8400.0,0.0,8400.0
MNE,7900.0,0.0,7900.0
OutF,6000.0,0.0,6000.0
Magn.,5200.0,0.0,5200.0
BSM,5100.0,0.0,5100.0
Trib.,3400.0,0.0,3400.0
IFC,3000.0,0.0,3000.0
IFC,3000.0,0.0,3000.0
IFC,3000.0,0.0,3000.0
IFC,2700.0,0.0,2700.0
IFC,800.0,0.0,800.0
Trib.,600.0,0.0,600.0
BV,400700000.0,875700000.0,1276400000.0
BV,409000000.0,805800000.0,1214800000.0
Uni.,368100000.0,602700000.0,970800000.0
WB (NL),258399999.0,700000000.0,958399999.0
LGF,424700000.0,440300000.0,865000000.0
Uni.,238700000.0,550000000.0,788700000.0
BV,268500000.0,475700000.0,744200000.0
WB,274100000.0,449100000.0,723200000.0
WB,291000000.0,377000000.0,668000000.0
BV,206400000.0,438200000.0,644600000.0
Fox,187200000.0,400000000.0,587200000.0
Par.,202400000.0,337600000.0,540000000.0
BV,234900000.0,258399999.0,493299999.0
Par.,228800000.0,238600000.0,467400000.0
Fox,132600000.0,282300000.0,414900000.0
WB,101800000.0,309200000.0,411000000.0
Par.,116900000.0,275100000.0,392000000.0
Par.,122500000.0,253200000.0,375700000.0
WB,112200000.0,249800000.0,362000000.0
WB,144800000.0,208800000.0,353600000.0
LG/S,117700000.0,234000000.0,351700000.0
Sony,71000000.0,276500000.0,347500000.0
WB (NL),137400000.0,182100000.0,319500000.0
Fox,67300000.0,237300000.0,304600000.0
Uni.,89100000.0,197100000.0,286200000.0
TriS,93100000.0,193100000.0,286200000.0
Fox,83000000.0,199500000.0,282500000.0
Sony,119800000.0,154500000.0,274300000.0
WB (NL),150400000.0,119600000.0,270000000.0
Fox,107500000.0,160900000.0,268400000.0
BV,89300000.0,171200000.0,260500000.0
Sony,150100000.0,101100000.0,251200000.0
Sony,133699999.0,113300000.0,246999999.0
Sony,60500000.0,183300000.0,243800000.0
BV,90300000.0,149000000.0,239300000.0
Fox,159600000.0,70300000.0,229900000.0
Par.,55700000.0,170600000.0,226300000.0
Sony,107100000.0,111700000.0,218800000.0
Sony,73100000.0,132300000.0,205400000.0
Fox,68600000.0,131300000.0,199900000.0
WAMCR,57400.0,197700000.0,197757400.0
WB (NL),65200000.0,132500000.0,197700000.0
Fox,58200000.0,129900000.0,188100000.0
FoxS,56700000.0,131100000.0,187800000.0
Wein.,116600000.0,60000000.0,176600000.0
Uni.,134500000.0,39500000.0,174000000.0
Par.,125200000.0,46300000.0,171500000.0
FD,98900000.0,71300000.0,170200000.0
FD,83600000.0,78300000.0,161900000.0
Uni.,125100000.0,29700000.0,154800000.0
Par.,102000000.0,49800000.0,151800000.0
Uni.,38400000.0,113400000.0,151800000.0
LG/S,53300000.0,94800000.0,148100000.0
Uni.,71600000.0,74800000.0,146400000.0
LG/S,25100000.0,112200000.0,137300000.0
CBS,63900000.0,70500000.0,134400000.0
Uni.,75600000.0,56300000.0,131900000.0
Fox,36100000.0,90500000.0,126600000.0
Sony,101500000.0,24600000.0,126100000.0
LG/S,61700000.0,63800000.0,125500000.0
WB,61000000.0,61100000.0,122100000.0
BV,83300000.0,34600000.0,117900000.0
LG/S,66400000.0,50600000.0,117000000.0
Uni.,45400000.0,71100000.0,116500000.0
CL,376000.0,115800000.0,116176000.0
Rela.,55800000.0,54600000.0,110400000.0
WB,46000000.0,59200000.0,105200000.0
Wein.,37700000.0,62400000.0,100100000.0
LGF,44500000.0,54600000.0,99100000.0
Uni.,42000000.0,56300000.0,98300000.0
Rela.,71300000.0,26200000.0,97500000.0
TriS,54200000.0,43300000.0,97500000.0
SPC,33400000.0,64099999.0,97499999.0
SGem,31200000.0,64200000.0,95400000.0
Fox,44700000.0,48800000.0,93500000.0
Uni.,26900000.0,63300000.0,90200000.0
Uni.,64500000.0,24900000.0,89400000.0
Yash,8000000.0,80000000.0,88000000.0
Uni.,15300000.0,71800000.0,87100000.0
Par.,49900000.0,36300000.0,86200000.0
SGem,35300000.0,49500000.0,84800000.0
Rela.,36900000.0,41500000.0,78400000.0
W/Dim.,32000000.0,46400000.0,78400000.0
Uni.,33600000.0,44700000.0,78300000.0
CL,23500.0,77700000.0,77723500.0
Fox,21500000.0,55100000.0,76600000.0
Wein.,57000000.0,17600000.0,74600000.0
Wein.,37700000.0,36500000.0,74200000.0
Uni.,70500000.0,2300000.0,72800000.0
WAMCR,87800.0,72200000.0,72287800.0
Fox,17000000.0,54000000.0,71000000.0
TriS,51900000.0,16700000.0,68600000.0
TriS,28900000.0,39700000.0,68600000.0
Wein.,6600000.0,57500000.0,64100000.0
ORF,32200000.0,31200000.0,63400000.0
ORF,26600000.0,36700000.0,63300000.0
Fox,19300000.0,43400000.0,62700000.0
GK,1000000.0,60000000.0,61000000.0
Uni.,28800000.0,32000000.0,60800000.0
ORF,40000000.0,20100000.0,60100000.0
WB,19500000.0,40600000.0,60100000.0
Wein.,18400000.0,41100000.0,59500000.0
Focus,27300000.0,27900000.0,55200000.0
PM&E,516000.0,54100000.0,54616000.0
LGF,52500000.0,853000.0,53353000.0
LGF,52000000.0,1200000.0,53200000.0
BV,30700000.0,19300000.0,50000000.0
CJ,665000.0,48300000.0,48965000.0
LGF,12100000.0,36300000.0,48400000.0
Rela.,25700000.0,22400000.0,48100000.0
WB,25600000.0,21800000.0,47400000.0
CL,43800.0,47200000.0,47243800.0
LGF,34300000.0,12900000.0,47200000.0
LGF,21800000.0,24700000.0,46500000.0
FD,17600000.0,28600000.0,46200000.0
Focus,26000000.0,20100000.0,46100000.0
WB,29800000.0,15100000.0,44900000.0
ORF,20200000.0,22900000.0,43100000.0
LG/S,42900000.0,0.0,42900000.0
ORF,16100000.0,19800000.0,35900000.0
Focus,21400000.0,14100000.0,35500000.0
CBS,13200000.0,19700000.0,32900000.0
RAtt.,21600000.0,11000000.0,32600000.0
Rela.,8800000.0,23600000.0,32400000.0
LG/S,32200000.0,74000.0,32274000.0
A24,14100000.0,17600000.0,31700000.0
WGUSA,458000.0,31200000.0,31658000.0
Rela.,24500000.0,6000000.0,30500000.0
Magn.,34700.0,28200000.0,28234700.0
Par.,17700000.0,10000000.0,27700000.0
WB (NL),22500000.0,4900000.0,27400000.0
Wein.,8300000.0,19000000.0,27300000.0
MNE,1000.0,27200000.0,27201000.0
W/Dim.,17400000.0,9000000.0,26400000.0
FoxS,17600000.0,7700000.0,25300000.0
FoxS,2300000.0,21900000.0,24200000.0
FoxS,21500000.0,1700000.0,23200000.0
Wein.,1500000.0,21300000.0,22800000.0
FoxS,21600000.0,887000.0,22487000.0
EOne,335000.0,21400000.0,21735000.0
Jan.,2900000.0,18500000.0,21400000.0
Cdgm.,,21300000.0,
Wein.,2500000.0,18000000.0,20500000.0
Fox,19700000.0,0.0,19700000.0
SPC,5100000.0,14500000.0,19600000.0
A24,5800000.0,13300000.0,19100000.0
LGF,18500000.0,0.0,18500000.0
FD,10900000.0,7200000.0,18100000.0
Focus,18000000.0,0.0,18000000.0
Wein.,16100000.0,1300000.0,17400000.0
SGem,8900000.0,7700000.0,16600000.0
Rela.,11300000.0,4300000.0,15600000.0
Distrib.,900.0,15200000.0,15200900.0
CBS,15200000.0,0.0,15200000.0
ORF,8000000.0,7000000.0,15000000.0
Imax,7600000.0,6500000.0,14100000.0
Rela.,7400000.0,6400000.0,13800000.0
RAtt.,6300000.0,7400000.0,13700000.0
Elev.,376000.0,12600000.0,12976000.0
FoxS,1700000.0,10400000.0,12100000.0
Cohen,390000.0,11500000.0,11890000.0
SPC,1400000.0,10400000.0,11800000.0
Wein.,218000.0,11200000.0,11418000.0
SPC,8100000.0,3100000.0,11200000.0
RTWC,779000.0,9900000.0,10679000.0
SPC,1300000.0,9300000.0,10600000.0
SPC,1600000.0,8400000.0,10000000.0
WB,9500000.0,0.0,9500000.0
LGF,9200000.0,130000.0,9330000.0
NGE,8000000.0,1300000.0,9300000.0
BV,3300000.0,5300000.0,8600000.0
MNE,105000.0,8000000.0,8105000.0
PH,3400000.0,4600000.0,8000000.0
LGF,5800000.0,2000000.0,7800000.0
FoxS,7000000.0,436000.0,7436000.0
IFC,2200000.0,5200000.0,7400000.0
Wein.,1700000.0,5300000.0,7000000.0
IFC,347000.0,6700000.0,7047000.0
A24,6900000.0,0.0,6900000.0
EOne,26700.0,6300000.0,6326700.0
ORF,6200000.0,0.0,6200000.0
FIP,,6000000.0,
Focus,5800000.0,0.0,5800000.0
Wein.,179000.0,5300000.0,5479000.0
Trib.,175000.0,5300000.0,5475000.0
CJ,134000.0,5300000.0,5434000.0
UTV,5300000.0,0.0,5300000.0
RTWC,4900000.0,0.0,4900000.0
FD,2200000.0,2700000.0,4900000.0
WGUSA,76500.0,4500000.0,4576500.0
Strand,8900.0,4400000.0,4408900.0
RAtt.,4300000.0,0.0,4300000.0
IFC,4099999.0,0.0,4099999.0
Cohen,285000.0,3600000.0,3885000.0
Eros,3800000.0,0.0,3800000.0
Drft.,22100.0,3600000.0,3622100.0
Da.,17700.0,3600000.0,3617700.0
CBS,3500000.0,74600.0,3574600.0
Magn.,3600.0,3500000.0,3503600.0
RAtt.,3300000.0,0.0,3300000.0
LGF,3300000.0,0.0,3300000.0
RAtt.,3000000.0,0.0,3000000.0
Eros,2700000.0,0.0,2700000.0
Cohen,102000.0,2400000.0,2502000.0
